;Date;rate
228;2012-11-28;0.02726
229;2012-11-29;0.027112
230;2012-11-30;0.027075
231;2012-12-03;0.027112
232;2012-12-04;0.027112
233;2012-12-05;0.027075
234;2012-12-06;0.027038
235;2012-12-07;0.027001
236;2012-12-10;0.026889
237;2012-12-11;0.026741
238;2012-12-12;0.026741
239;2012-12-13;0.026667
240;2012-12-14;0.026481
241;2012-12-17;0.026444
242;2012-12-18;0.02637
243;2012-12-19;0.026258
244;2012-12-20;0.026295
245;2012-12-21;0.02637
246;2012-12-24;0.02637
247;2012-12-26;0.026481
248;2012-12-27;0.026481
249;2012-12-28;0.026481
250;2012-12-31;0.026481
251;2013-01-02;0.026555
252;2013-01-03;0.026555
253;2013-01-04;0.026593
254;2013-01-07;0.026555
255;2013-01-08;0.026518
256;2013-01-09;0.026481
257;2013-01-10;0.026518
258;2013-01-11;0.026555
259;2013-01-14;0.026593
260;2013-01-15;0.02663
261;2013-01-16;0.02663
262;2013-01-17;0.02663
263;2013-01-18;0.026555
264;2013-01-21;0.026593
265;2013-01-22;0.026593
266;2013-01-23;0.026593
267;2013-01-24;0.026593
268;2013-01-25;0.02663
269;2013-01-28;0.02663
270;2013-01-29;0.026667
271;2013-01-30;0.026667
272;2013-01-31;0.026667
273;2013-02-01;0.026667
274;2013-02-04;0.026704
275;2013-02-05;0.026704
276;2013-02-06;0.026704
277;2013-02-07;0.026667
278;2013-02-08;0.026667
279;2013-02-13;0.026667
280;2013-02-14;0.02663
281;2013-02-15;0.02663
282;2013-02-18;0.02663
283;2013-02-19;0.026593
284;2013-02-20;0.026667
285;2013-02-21;0.026667
286;2013-02-22;0.026704
287;2013-02-25;0.026852
288;2013-02-26;0.026778
289;2013-02-27;0.026778
290;2013-02-28;0.026778
291;2013-03-01;0.026778
292;2013-03-04;0.026815
293;2013-03-05;0.026815
294;2013-03-06;0.026815
295;2013-03-07;0.026815
296;2013-03-08;0.026815
297;2013-03-11;0.026815
298;2013-03-12;0.026815
299;2013-03-13;0.026815
300;2013-03-14;0.026815
301;2013-03-15;0.026815
302;2013-03-18;0.026815
303;2013-03-19;0.026815
304;2013-03-20;0.026815
305;2013-03-21;0.026815
306;2013-03-22;0.026815
307;2013-03-25;0.026815
308;2013-03-26;0.026815
309;2013-03-27;0.026815
310;2013-03-28;0.026889
311;2013-04-01;0.026926
312;2013-04-02;0.026926
313;2013-04-03;0.026889
314;2013-04-04;0.026889
315;2013-04-05;0.026889
316;2013-04-08;0.026889
317;2013-04-09;0.026889
318;2013-04-10;0.026889
319;2013-04-11;0.026889
320;2013-04-12;0.026889
321;2013-04-15;0.026889
322;2013-04-16;0.026852
323;2013-04-17;0.026852
324;2013-04-18;0.027742
325;2013-04-19;0.027742
326;2013-04-22;0.027742
327;2013-04-23;0.027742
328;2013-04-24;0.027742
329;2013-04-25;0.027742
330;2013-04-26;0.027705
331;2013-04-29;0.027705
332;2013-04-30;0.027705
333;2013-05-02;0.027705
334;2013-05-03;0.027705
335;2013-05-06;0.027742
336;2013-05-07;0.027742
337;2013-05-08;0.027705
338;2013-05-09;0.027742
339;2013-05-10;0.027705
340;2013-05-13;0.027668
341;2013-05-14;0.027668
342;2013-05-15;0.027668
