company_code
ABCB
AESB
AESL
AESO
AFLT
ALUP
AMBP
APCS
APER
AURE
B3SA
BAZA
BBAS
BBDC
BBSE
BDLS
BEES
BFRE
BGIP
BIDI
BMEB
BMGB
BMIN
BNBR
BNDP
BOAS
BPAC
BPAN
BPAR
BRBI
BRGE
BRIV
BRSR
BSCS
BSLI
BZRS
CARD
CASN
CBEE
CBSC
CEBR
CEEB
CEED
CEGR
CEPE
CGAS
CIEL
CLSA
CLSC
CMGD
CMGT
CMIG
COCE
COMR
CPFE
CPFG
CPFP
CPLE
CPRE
CPTE
CRIV
CSAB
CSMG
CSRN
CXSE
DBEN
EBEN
ECOA
EEEL
EGIE
EKTR
ELET
EMAE
ENBR
ENER
ENEV
ENGI
ENMT
EQMA
EQPA
EQTL
ESCE
FGEN
FNCN
G2DI
GAFL
GAIA
GEPA
GETT
GPAR
GPIV
IGSN
IRBR
ITPB
ITSA
ITUB
LIGH
LIGT
LIPR
MEGA
MERC
MODL
NEOE
NUBR
OCTS
ORVR
PALF
PASS
PDGS
PINE
PLSC
PPLA
PRBC
PRMN
PSSA
RBRA
REDE
RNEW
RPAD
SANB
SAPR
SBSP
SNST
STEN
STKF
STOC
SULA
TAEE
TEPE
TMPE
TRPL
UPKP
VERT
WIZS
WTPI
WTVR
XPBR
