rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,SHOW3,TIME FOR FUN,22454,2012-02-16 10:26:12,2011-12-31,69.29,-142.053,102.209,0.4322425912280138,1219.5040000000001,1077.451,0.09486185450660865,4
2012-04-09,ODPV3,ODONTOPREV,20125,2012-03-01 18:33:38,2011-12-31,177.098264,-207.831,179.285,0.2016635421637466,1765.66969208,1557.83869208,0.11508572800988892,5
2012-04-09,RAPT4,RANDON PART,14109,2012-02-28 08:02:22,2011-12-31,243.785,379.538,459.779,0.1798184951272785,2698.69995,3078.23795,0.14936434657366238,6
2012-04-09,AUTM3,AUTOMETAL,22381,2012-02-29 18:11:32,2011-12-31,125.908,-262.426,239.791,0.1825826116149455,2051.04132,1788.6153199999999,0.13406516052876033,7
2012-04-09,SLED4,SARAIVA LIVR,10472,2012-03-22 17:05:21,2011-12-31,28.596,274.127,139.592,0.1536831113372311,616.2438000000001,890.3708000000001,0.1567796248484339,8
2012-04-09,EZTC3,EZTEC,20770,2012-03-13 22:12:01,2011-12-31,146.72412,-241.35,288.502,0.1939981518291695,3248.4720168,3007.1220168,0.09593957225154656,9
2012-04-09,MGLU3,MAGAZ LUIZA,22470,2012-04-04 16:15:45,2011-12-31,186.494,463.2610000000001,213.66,0.3156745285553107,2208.08896,2671.34996,0.07998203275470504,10
2012-04-09,TGMA3,TEGMA,20800,2012-03-14 20:54:35,2011-12-31,66.003,222.532,178.253,0.2717572624459474,1969.52952,2192.06152,0.08131751703756926,11
2012-04-09,MYPK3,IOCHP-MAXION,11932,2012-02-27 19:36:53,2011-12-31,94.863,519.373,358.253,0.1991068748957928,3534.5953799999997,4053.96838,0.08837094087053536,12
2012-04-09,NATU3,NATURA,19550,2012-02-15 19:19:16,2011-12-31,431.239,671.089,1315.07,0.6249000673897139,17236.62283,17907.71183,0.07343595946171756,13
2012-04-09,HBOR3,HELBOR,20877,2012-03-14 19:27:51,2011-12-31,65.097,539.662,236.683,0.160286217362663,1830.5276399999998,2370.1896399999996,0.09985825438001662,14
2012-04-09,MRVE3,MRV,20915,2012-03-15 23:02:15,2011-12-31,482.71,1746.5099999999998,893.023,0.1428090038736108,6449.0055999999995,8195.515599999999,0.10896483437844962,15
2012-04-09,BEEF3,MINERVA,20931,2012-03-22 10:30:36,2011-12-31,105.909718,1289.661,282.346,0.1166244390900271,801.73656526,2091.39756526,0.13500350420695792,16
2012-04-09,BRML3,BR MALLS PAR,19909,2012-02-28 01:36:37,2011-12-31,449.542,2672.954,1445.374,0.1343043827905106,10726.072119999999,13399.026119999999,0.10787157119147404,17
2012-04-09,BISA3,BROOKFIELD,20265,2012-03-13 19:03:16,2011-12-31,445.183757,2523.781,611.969,0.1039777895568491,2604.32497845,5128.105978449999,0.11933626227143054,18
2012-04-09,LAME4,LOJAS AMERIC,8087,2012-03-06 20:23:09,2011-12-31,774.97171,2611.4500000000003,1140.573,0.2805041993008804,13414.760300099999,16026.2103001,0.07116922707502991,19
2012-04-09,POMO4,MARCOPOLO,8451,2012-02-28 08:05:25,2011-12-31,448.450042,580.316,428.482,0.1767693744397786,4408.26391286,4988.57991286,0.08589258014999848,20
2012-04-09,JHSF3,JHSF PART,20605,2012-03-26 20:43:22,2011-12-31,428.762581,427.9129999999999,268.872,0.1598031811955913,2559.71260857,2987.62560857,0.08999521199334382,21
2012-04-09,GRND3,GRENDENE,19615,2012-03-01 19:05:10,2011-12-31,300.72,-804.9060000000001,187.293,0.1496156890654388,2871.8760000000007,2066.9700000000007,0.09061234560733825,22
2012-04-09,DIRR3,DIRECIONAL,21350,2012-03-13 13:05:46,2011-12-31,153.244532,122.04000000000002,177.77,0.1248998805592636,1563.0942263999998,1685.1342263999998,0.10549308014458594,23
2012-04-09,DASA3,DASA,19623,2012-03-26 21:25:09,2011-12-31,311.803015,817.837,374.552,0.2309878200905434,4599.09447125,5416.93147125,0.06914468126242866,24
2012-04-09,GSHP3,GENERALSHOPP,21008,2012-03-22 21:42:34,2011-12-31,50.4806,350.91799999999995,85.491,0.1466169317118802,601.2239460000001,952.141946,0.08978808292098918,25
