DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
SOFIMA SA|1987-01-12|1996-01-05|CANCELADA|1996-01-05|13129|Outras Atividades Industriais|PRIVADO
HERING SA BRINQ INST MUSICAIS|1987-01-12|2005-03-22|CANCELADA|2005-03-22|13137|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SOCIED. PAULIS ARTEF METALS/A|1987-01-30|1988-04-05|CANCELADA|1988-04-05|13145|Metalurgia e Siderurgia|PRIVADO
STEVIAFARMA INDUSTRIAL SA|1987-04-15|2005-08-02|CANCELADA|2005-08-02|13153|Farmacêutico e Higiene|PRIVADO
ARAGUAIA SA MIN RACOES FERTIL|1987-04-29|1988-07-05|CANCELADA|1988-07-05|13161|Extração Mineral|PRIVADO
MATEL TECN DE TELEINF SA|1987-04-29|1999-10-21|CANCELADA|1999-10-21|13170|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
IND BEBS ANTARCTICA PARAIBA SA|1987-05-28|1999-01-11|CANCELADA|1999-01-11|13188|Bebidas e Fumo|PRIVADO
SA MINERACAO DE AMIANTO|1987-07-03|1989-08-23|CANCELADA|1989-08-23|13196|Extração Mineral|PRIVADO
HUSKY SA|1987-08-25|2007-01-09|CANCELADA|2007-01-09|13218|Têxtil e Vestuário|PRIVADO HOLDING
CASCAJU AGROINDUSTRIAL SA|1981-12-23|1988-09-28|CANCELADA|1988-09-28|13226|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CICADE CURTUME SA|1987-09-22|2007-01-09|CANCELADA|2007-01-09|13234|Têxtil e Vestuário|PRIVADO
SIDERURGICA CEARENSE S/A|1987-12-22|1995-12-29|CANCELADA|1995-12-29|13269|Metalurgia e Siderurgia|PRIVADO
CONST CENTENARIO SA EMP E PART|1988-01-27|1990-12-27|CANCELADA|1990-12-27|13277|Construção Civil, Mat. Constr. e Decoração|PRIVADO
JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP|1988-03-04||ATIVO|1988-03-04|13285|Emp. Adm. Part. - Alimentos|PRIVADO
ABC DADOS E INFORMATICA SA|1988-06-03|1993-03-05|CANCELADA|1993-03-05|13307|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COMPANHIA BRASILEIRA DE CARTUCHOS - CBC|1988-06-15|2007-11-14|CANCELADA|2007-11-14|13315|Metalurgia e Siderurgia|PRIVADO
ECIL SA PRODS E SIST MED CONT|1988-08-09|1997-12-03|CANCELADA|1997-12-03|13331|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
FUNDIROSSI SA METALURGIA FINA|1988-09-22|1992-08-18|CANCELADA|1992-08-18|13340|Metalurgia e Siderurgia|PRIVADO
HAGA S.A. INDÚSTRIA E COMÉRCIO|1988-09-01||ATIVO|1988-09-01|13366|Metalurgia e Siderurgia|PRIVADO
GURGEL MOTORES SA|1988-09-13|2005-03-22|CANCELADA|2005-03-22|13382|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DFV AUTOMACAO E ROBOTICA SA|1988-09-26|1992-09-18|CANCELADA|1992-09-18|13390|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SETA SA EXTRAT TANINO ACACIA|1988-11-03|1997-04-03|CANCELADA|1997-04-03|13404|Petroquímicos e Borracha|PRIVADO
ÉVORA S.A.|1988-11-22|2016-09-15|CANCELADA|2016-09-15|13412|Emp. Adm. Part. - Embalagens|PRIVADO
METALURGICA RIOSULENSE SA|1988-11-29||ATIVO|1988-11-29|13439|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
JORNAL DO BRASIL SA|1989-03-15|1990-05-24|CANCELADA|1990-05-24|13455|Gráficas e Editoras|PRIVADO
IRANI AGROFLORESTAL SA|1989-04-27|1995-05-04|CANCELADA|1995-05-04|13463|Reflorestamento|PRIVADO
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A|1989-04-19||ATIVO|1989-04-19|13471|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO
BELPRATO SA|1989-05-19|2006-03-21|CANCELADA|2006-03-21|13480|Alimentos|PRIVADO
SOBRAL INVICTA SA|1987-07-20|2001-05-31|CANCELADA|2001-05-31|13501|Outras Atividades Industriais|PRIVADO
METAL LEVE ELETR E AUTOM SA|1989-07-07|1993-04-02|CANCELADA|1993-04-02|13528|Máquinas, Equipamentos, Veículos e Peças|PRIVADO HOLDING
CONPART IND ELETRONICA S/A|1989-09-01|2005-03-22|CANCELADA|2005-03-22|13544|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CAEMI MINERAÇÃO E METALURGIA S.A.|1989-10-04|2006-07-18|CANCELADA|2006-07-18|13552|Emp. Adm. Part. - Metalurgia e Siderurgia|PRIVADO
MASSA FALIDA DE OLMA SA OLEOS VEGETAIS|1989-10-06|2006-03-21|CANCELADA|2006-03-21|13560|Alimentos|PRIVADO
TENENGE TEC NAC ENGENHARIA SA|1989-10-20|1994-12-02|CANCELADA|1994-12-02|13579|Serviços Diversos|PRIVADO
SIBISA TRADING SA|1989-11-14|2005-12-20|CANCELADA|2005-12-20|13587|Comércio Exterior|PRIVADO
CIMENTO MAUA SA|1989-11-13|1997-12-23|CANCELADA|1997-12-23|13609|Extração Mineral|PRIVADO
VILEJACK INDUSTRIAL S.A.|1989-11-08|2005-03-22|CANCELADA|2005-03-22|13617|Têxtil e Vestuário|PRIVADO
MASSA FALIDA DA ENCOL SA ENG COM E INDUSTRIA|1990-02-15|2008-03-18|CANCELADA|2008-03-18|13633|Construção Civil, Mat. Constr. e Decoração|PRIVADO
METALURGICA JOAO WIEST SA|1990-01-04|1994-07-26|CANCELADA|1994-07-26|13641|Metalurgia e Siderurgia|PRIVADO
IND BEBS ANTARCTICA RN SA|1990-05-04|1999-01-11|CANCELADA|1999-01-11|13668|Bebidas e Fumo|PRIVADO
IND BEBS ANTARCTICA MT SA|1990-05-09|1990-07-26|CANCELADA|1990-07-26|13684|Bebidas e Fumo|PRIVADO
IDEROL SA EQUIPS RODOVIARIOS|1990-07-04|2005-12-20|CANCELADA|2005-12-20|13692|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
EDITORA ABRIL SA|1990-06-01|1992-01-14|CANCELADA|1992-01-14|13706|Gráficas e Editoras|PRIVADO
LISTEL LISTAS TELEFONICAS SA|1990-07-19|1991-01-14|CANCELADA|1991-01-14|13714|Gráficas e Editoras|PRIVADO
CARAIBA METAIS SA|1990-12-12|2009-11-13|CANCELADA|2009-11-13|13722|Metalurgia e Siderurgia|PRIVADO
PISA-PAPEL DE IMPRENSA SA|1990-11-01|2001-09-28|CANCELADA|2001-09-28|13730|Papel e Celulose|PRIVADO
PAES MENDONCA SA|1990-11-26|1998-04-24|CANCELADA|1998-04-24|13749|Comércio (Atacado e Varejo)|PRIVADO
MINUPAR PARTICIPACOES SA|1990-12-21||ATIVO|1990-12-21|13765|Emp. Adm. Part. - Alimentos|PRIVADO
PBG S/A|1991-01-04||ATIVO|1991-01-04|13773|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SDV ADM-DE SHOPPING CENTERS SA|1991-04-15|2017-04-12|CANCELADA|2017-04-12|13790|Comércio (Atacado e Varejo)|PRIVADO
RACINVEST INVS IMOBILIARIOS SA|1991-04-24|1992-01-28|CANCELADA|1992-01-28|13803|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CIA INDUSTRIAL BRASILEIRA ALIMENTOS|1991-04-26|2005-03-22|CANCELADA|2005-03-22|13811|Alimentos|PRIVADO
CONTEX CONFECÇÕES TEXTEIS SA|1991-04-26|2010-01-04|CANCELADA|2010-01-04|13820|Têxtil e Vestuário|PRIVADO
DIJON SA|1991-04-30|2010-09-23|CANCELADA|2010-09-23|13838|Comércio (Atacado e Varejo)|PRIVADO
DIXIE LALEKLA SA|1991-05-15|1995-07-20|CANCELADA|1995-07-20|13846|Outras Atividades Industriais|PRIVADO
MC&A SISTEMAS PESSOAIS SA|1991-07-08|1992-02-24|CANCELADA|1992-02-24|13862|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
USINAS SIDERURGICAS DE MG SA|1991-09-23|1999-04-06|CANCELADA|1999-04-06|13889|Metalurgia e Siderurgia|PRIVADO
CIPLA SA|1991-10-14|2010-01-04|CANCELADA|2010-01-04|13900|Comércio (Atacado e Varejo)|PRIVADO
BRASIL BETON SA|1991-10-24|1995-05-25|CANCELADA|1995-05-25|13927|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SUZANO S.A.|1992-04-15||ATIVO|1992-04-15|13986|Papel e Celulose|PRIVADO
