DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
GRUÇAI PARTICIPAÇÕES SA|1996-08-28|2019-08-16|CANCELADA|2019-08-16|15695|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
RUMO MALHA SUL S.A.|1996-08-29||ATIVO|1996-08-29|15709|Serviços Transporte e Logística|PRIVADO
ST MICHEL SA|1996-09-10|2006-03-14|CANCELADA|2006-03-14|15725|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SHOPPING CENTER TACARUNA SA|1996-09-11|2019-03-13|CANCELADA|2019-03-13|15733|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
WTC AMAZONAS SUITE HOTEL S.A.|1996-09-18||ATIVO|1996-09-18|15741|Hospedagem e Turismo|PRIVADO
PORTHAL DO LAGO SA|1996-09-19|2002-02-08|CANCELADA|2002-02-08|15750|Construção Civil, Mat. Constr. e Decoração|PRIVADO
GLOBAL TRUST SA|1996-09-23|2000-02-22|CANCELADA|2000-02-22|15776|Serviços Diversos|PRIVADO
CONSPREVI SA|1996-10-14|2001-06-28|CANCELADA|2001-06-28|15814|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BANRISUL ARMAZENS GERAIS SA|1996-10-18||ATIVO|1996-10-18|15822|Serviços Transporte e Logística|PRIVADO
ENERGIPAR PARTICIPAÇÕES S.A.|1996-11-04|2015-12-18|CANCELADA|2015-12-18|15849|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
MULTIBRAS PAR SA|1996-11-04|1997-12-30|CANCELADA|1997-12-30|15857|Serviços Diversos|PRIVADO
INDS ARTEB SA|1996-11-28|2010-01-25|CANCELADA|2010-01-25|15881|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SERNAMBETIBA TRUST SPE SA|1996-12-03|2005-02-22|CANCELADA|2005-02-22|15903|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TORCEDOR SA|1996-12-05|2007-02-28|CANCELADA|2007-02-28|15920|Emp. Adm. Part. - Brinquedos e Lazer|PRIVADO
TIGRE S.A. PARTICIPAÇÕES|1996-12-09|2003-05-30|CANCELADA|2003-05-30|15962|Construção Civil, Mat. Constr. e Decoração|PRIVADO
POLIPROPILENO PARTICIPACOES S.A.|1996-12-26|2005-12-15|CANCELADA|2005-12-15|15997|Emp. Adm. Part. - Petroquímicos e Borracha|PRIVADO
GAFISA SPE-1 SA|1996-12-30|2005-12-06|CANCELADA|2005-12-06|16012|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CSM CARTOES DE SEGURANCA SA|1997-01-02|2001-04-23|CANCELADA|2001-04-23|16020|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SANTANA TEXTIL SA|1997-01-07|1998-01-09|CANCELADA|1998-01-09|16039|Têxtil e Vestuário|PRIVADO
VERPAR CENTROS COMERCIAIS SA|1997-01-14|2009-11-09|CANCELADA|2009-11-09|16047|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
SONAE DISTRIBUIÇÃO BRASIL SA|1997-01-17|1998-11-24|CANCELADA|1998-11-24|16055|Comércio (Atacado e Varejo)|PRIVADO
GC ADM DE RECEBIVEIS SA|1997-01-22|2000-09-28|CANCELADA|2000-09-28|16071|Serviços Diversos|PRIVADO
MINASFER S/A|1997-01-29|2010-01-04|CANCELADA|2010-01-04|16080|Metalurgia e Siderurgia|PRIVADO
BAHIA TRUST DE RECEBIVEIS|1997-02-05|1999-10-28|CANCELADA|1999-10-28|16098|Serviços Diversos|PRIVADO
BOSTON EXPORTADORA IMPORT SA|1997-03-10|1998-03-17|CANCELADA|1998-03-17|16160|Comércio Exterior|PRIVADO
INTERAGRO SA ALIMENTOS|1997-03-12|1998-01-16|CANCELADA|1998-01-16|16179|Alimentos|PRIVADO
MAISA PARTICIPACOES SA|1997-03-14|2006-11-22|CANCELADA|2006-11-22|16187|Alimentos|PRIVADO
REXAM BEVERAGE CAN SOUTH AMERICA S.A.|1997-05-14|2004-05-19|CANCELADA|2004-05-19|16250|Metalurgia e Siderurgia|PRIVADO
MARINA DE IRACEMA PARK SA|1997-05-14||ATIVO|1997-05-14|16268|Hospedagem e Turismo|PRIVADO
METRO EXTENSAO NORTE TRUST SA|1997-05-16|1998-07-23|CANCELADA|1998-07-23|16276|Serviços Diversos|PRIVADO
BRF S.A.|1997-06-24||ATIVO|1997-06-24|16292|Emp. Adm. Part. - Alimentos|PRIVADO
ROSSI RESIDENCIAL SA|1997-07-01||ATIVO|1997-07-01|16306|Construção Civil, Mat. Constr. e Decoração|PRIVADO
OPPORTUNITY LESTE SA|1997-07-16|2006-05-30|CANCELADA|2006-05-30|16357|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
TAM S.A.|1997-08-08|2012-07-18|CANCELADA|2012-07-18|16390|Serviços Transporte e Logística|PRIVADO
EISA ESTALEIRO ILHA SA|1997-08-13|2002-05-08|CANCELADA|2002-05-08|16411|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SUL 116 PARTICIPAÇÕES S.A.|1997-09-03||ATIVO|1997-09-03|16438|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
NUMERAL 80 PARTICIPAÇÕES S.A.|1997-09-16|2020-09-16|CANCELADA|2020-09-16|16446|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
SPLICE DO BRASIL TELEC  E ELETRONICA S/A|1997-10-07|2003-11-12|CANCELADA|2003-11-12|16489|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR|1997-10-07|2022-04-29|CANCELADA|2022-04-29|16497|Emp. Adm. Part. - Têxtil e Vestuário|PRIVADO
REASON S.A. COML. IMPORT. E EXPORTADORA|1997-10-10|2001-02-05|CANCELADA|2001-02-05|16519|Comércio (Atacado e Varejo)|PRIVADO
WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.|1997-10-30||ATIVO|1997-10-30|16551|Hospedagem e Turismo|PRIVADO
ECO HILLS SA|1997-11-07|2007-01-09|CANCELADA|2007-01-09|16578|Construção Civil, Mat. Constr. e Decoração|PRIVADO
OESTE PARTICIPAÇÕES SA|1997-11-10|2009-11-30|CANCELADA|2009-11-30|16594|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
DEXXOS PARTICPAÇÕES S.A.|1997-11-20||ATIVO|1997-11-20|16632|Emp. Adm. Part. - Petroquímicos e Borracha|PRIVADO
CENTRO SECULO XXI SA|1997-11-20|2002-12-16|CANCELADA|2002-12-16|16640|Construção Civil, Mat. Constr. e Decoração|PRIVADO
FLYNET SA|1997-12-01|2009-03-03|CANCELADA|2009-03-03|16667|Emp. Adm. Part. - Comunicação e Informática|PRIVADO
CEL PARTICIPAÇÕES S.A. - CELPAR|1997-12-01||ATIVO|1997-12-01|16675|Emp. Adm. Part. - Educação|PRIVADO
TESC - TERMINAL SANTA CATARINA S/A|1997-12-08|2006-05-31|CANCELADA|2006-05-31|16713|Serviços Transporte e Logística|PRIVADO
CITI CP MERCANTIL SA|1997-12-16|2002-10-29|CANCELADA|2002-10-29|16721|Serviços Diversos|PRIVADO
GARUDA SA|1997-12-23|2009-12-31|CANCELADA|2009-12-31|16756|Emp. Adm. Part. - Alimentos|PRIVADO
FICAP SA|1998-01-14|2000-12-22|CANCELADA|2000-12-22|16780|Metalurgia e Siderurgia|PRIVADO
CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A|1998-01-13|2007-03-09|CANCELADA|2007-03-09|16799|Têxtil e Vestuário|PRIVADO
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.|1998-01-23|2009-11-30|CANCELADA|2009-11-30|16810|Serviços Transporte e Logística|PRIVADO
CEVAL PARTICIPAÇOES SA|1998-01-29|1999-10-15|CANCELADA|1999-10-15|16829|Outras Atividades Industriais|PRIVADO
C. P. E. PENINSULA DO TUCURUÇUTUBA|1998-01-29|2006-10-11|CANCELADA|2006-10-11|16837|Emp. Adm. Part. - Hospedagem e Turismo|PRIVADO
BULHOES CARVALHO F NOTES SA|1998-02-02|2000-12-20|CANCELADA|2000-12-20|16845|Serviços Diversos|PRIVADO
LINHA AMARELA S.A.- LAMSA|1998-02-02|2003-05-06|CANCELADA|2003-05-06|16853|Serviços Transporte e Logística|PRIVADO
FIAGO PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO|1998-02-20|2015-12-08|CANCELADA|2015-12-08|16896|Emp. Adm. Part. - Telecomunicações|PRIVADO
ABC SUPERMERCADOS SA|1998-02-27|2001-12-17|CANCELADA|2001-12-17|16934|Comércio (Atacado e Varejo)|PRIVADO
MAISON ROYALE SA|1998-04-16|2002-10-30|CANCELADA|2002-10-30|17035|Construção Civil, Mat. Constr. e Decoração|PRIVADO
RET PARTICIPAÇÕES S/A|1998-05-28|2018-06-11|CANCELADA|2018-06-11|17337|Emp. Adm. Part. - Telecomunicações|PRIVADO
BRASIL FERROVIAS S.A.|1998-06-12|2008-07-17|CANCELADA|2008-07-17|17353|Serviços Transporte e Logística|PRIVADO
ZAIN PARTICIPAÇÕES S/A|1998-06-15|2020-08-14|CANCELADA|2020-08-14|17361|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
FUTURETEL S.A. - EM LIQUIDAÇÃO|1998-06-16||SUSPENSO(A) - DECISÃO ADM|2021-11-29|17388|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
INVITEL SA|1998-06-17|2009-07-31|CANCELADA|2009-07-31|17396|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
VILLAGE COUNTRY SA|1998-06-18|2007-01-09|CANCELADA|2007-01-09|17400|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TELINVEST SA|1998-06-18|2018-06-11|CANCELADA|2018-06-11|17418|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
LONGDIS SA|1998-06-30||ATIVO|2021-12-17|17434|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
LF TEL SA|1998-07-02|2014-12-11|CANCELADA|2014-12-11|17442|Emp. Adm. Part. - Telecomunicações|PRIVADO
RUMO S.A.|1998-07-02||ATIVO|1998-07-02|17450|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
CAPITALPART PARTICIPAÇÕES SA|1998-07-09||ATIVO|2021-11-11|17493|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
TELPART PARTICIPAÇÕES S/A|1998-07-14|2008-04-29|CANCELADA|2008-04-29|17507|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
PANTANAL PLAZA SHOPPING SA|1998-07-20|2010-01-04|CANCELADA|2010-01-04|17523|Comércio (Atacado e Varejo)|PRIVADO HOLDING
MEM CELULAR PARTICIPAÇÕES SA|1998-07-20|2008-06-30|CANCELADA|2008-06-30|17531|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
NEWTEL PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO|1998-07-20||ATIVO|1998-07-20|17540|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
ARGOLIS HOLDINGS S.A.|1998-07-20|2008-06-30|CANCELADA|2008-06-30|17566|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
LIBRA TERMINAL 35 SA|1998-07-24|2002-11-11|CANCELADA|2002-11-11|17574|Serviços Transporte e Logística|PRIVADO
LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL|1998-07-24|2005-01-17|CANCELADA|2005-01-17|17582|Serviços Transporte e Logística|PRIVADO
CONCES DA ROD OSÓRIO-POA S/A - CONCEPA|1998-08-11|2017-12-05|CANCELADA|2017-12-05|17590|Serviços Transporte e Logística|PRIVADO
TCO CELULAR PARTICIPAÇÕES  S/A|1998-08-18|2006-05-16|CANCELADA|2006-05-16|17612|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
TELE SUDESTE CELULAR PARTICIPAÇÕES SA|1998-08-19|2006-02-22|CANCELADA|2006-02-22|17620|Emp. Adm. Part. - Telecomunicações|PRIVADO
TIM PARTICIPAÇÕES SA|1998-08-19|2020-08-31|CANCELADA|2020-08-31|17639|Emp. Adm. Part. - Telecomunicações|PRIVADO
BRASIL TELECOM PARTICIPAÇÕES SA|1998-08-19|2009-09-30|CANCELADA|2009-09-30|17680|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
TELE LESTE CELULAR PARTICIPAÇÕES SA|1998-08-19|2006-02-22|CANCELADA|2006-02-22|17698|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
BLUE TREE HOTELS & RESORTS DO BRASIL SA|1998-09-15|2008-02-01|CANCELADA|2008-02-01|17760|Hospedagem e Turismo|PRIVADO
MAORI SA|1998-09-23|2019-04-15|CANCELADA|2019-04-15|17779|Emp. Adm. Part. - Gráficas e Editoras|PRIVADO
S.P.E.L. EMPREENDIMENTOS E PARTICIP. S.A|1998-10-02|2005-12-31|CANCELADA|2005-12-31|17817|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO HOLDING
RUMO MALHA OESTE S.A.|1998-10-20||ATIVO|1998-10-20|17850|Serviços Transporte e Logística|PRIVADO
INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL|1998-10-23||ATIVO|1998-10-23|17868|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
METODO ENGENHARIA SA|1998-11-04|2005-06-20|CANCELADA|2005-06-20|17876|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PEARSON SISTEMAS DO BRASIL S.A.|1998-11-09|2011-03-17|CANCELADA|2011-03-17|17906|Educação|PRIVADO
MMX MINERAÃ+O E MET-LICOS S.A - FALIDA|1998-11-10||ATIVO|1998-11-10|17914|Extração Mineral|PRIVADO
RUMO MALHA PAULISTA S.A.|1998-11-12||ATIVO|1998-11-12|17930|Serviços Transporte e Logística|PRIVADO
MRS LOGÍSTICA S/A|1998-11-13||ATIVO|1998-11-13|17949|Serviços Transporte e Logística|PRIVADO
COGNA EDUCAÇÃO S.A.|1998-12-01||ATIVO|1998-12-01|17973|Emp. Adm. Part. - Educação|PRIVADO
ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A|1998-12-03|2002-12-09|CANCELADA|2002-12-09|17990|Construção Civil, Mat. Constr. e Decoração|PRIVADO
REAL HOLDINGS PART. S.A. (EM LIQUIDAÇÃO)|1998-12-03|2002-01-14|CANCELADA|2002-01-14|18007|Serviços Transporte e Logística|PRIVADO HOLDING
PETROPAR EMBALAGENS SA|1998-12-11|2001-04-17|CANCELADA|2001-04-18|18090|Embalagens|PRIVADO
COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV|1998-12-17|2013-12-12|CANCELADA|2013-12-12|18112|Bebidas e Fumo|PRIVADO
BRASCAN IMOBILIARIA SA|1999-01-22|2003-07-10|CANCELADA|2003-07-10|18147|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
BAHEMA EQUIPAMENTOS SA|1999-02-10|2003-10-31|CANCELADA|2003-10-31|18155|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
PRH9 PRODUÇÕES SA|1999-02-26|2001-02-06|CANCELADA|2001-02-06|18163|Serviços Diversos|PRIVADO
EMP CINEMAS SAO LUIZ SA|1999-02-26|2000-08-07|CANCELADA|2000-08-07|18171|Serviços Diversos|PRIVADO
PARTICIP. E EMPREEND. REPUBLICA SA|1999-04-07|2007-04-09|CANCELADA|2007-04-09|18201|Serviços Transporte e Logística|PRIVADO
CELULAR CRT PARTICIPAÇÕES S.A.|1999-05-04|2006-02-22|CANCELADA|2006-02-22|18210|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
RASIP AGRO PASTORIL SA|1999-05-27|2013-07-16|CANCELADA|2013-07-16|18279|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
LIBRA TERMINAIS SA|1999-06-09|2002-11-11|CANCELADA|2002-11-11|18295|Serviços Transporte e Logística|PRIVADO
COMPANHIA SIDERÚRGICA PAULISTA - COSIPA|1999-06-14|2005-04-05|CANCELADA|2005-04-05|18317|Metalurgia e Siderurgia|PRIVADO
ARGOLIS PARTICIPAÇÕES S/A|1999-06-21|2008-04-18|CANCELADA|2008-04-18|18341|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
INVESTVALE SERVIÇOS S.A.|1999-07-20|2007-05-09|CANCELADA|2007-05-09|18384|Comunicação e Informática|PRIVADO
PADTEC HOLDING S.A.|1999-08-02||ATIVO|1999-08-02|18414|Emp. Adm. Part. - Comunicação e Informática|PRIVADO
CIA TECNICA DE ENGENHARIA ELETRIC A|1999-09-08|2008-01-15|CANCELADA|2008-01-15|18422|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CLINICA MÉDICA VITA S.A|1999-09-21|2006-10-20|CANCELADA|2006-10-20|18449|Serviços Médicos|PRIVADO
ULTRAPAR PARTICIPAÇÕES SA|1999-09-27||ATIVO|1999-09-27|18465|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
MARLIM PARTICIPAÇÕES SA|1999-11-16|2009-08-07|CANCELADA|2009-08-07|18481|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
CLARION S/A AGROINDUSTRIAL|1999-11-26|2014-12-18|CANCELADA|2014-12-18|18490|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
MAHLE COFAP ANEIS SA|2000-01-12|2003-01-07|CANCELADA|2003-01-07|18520|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
TERMINAL GARAGEM MENEZES CORTES SA|2000-01-17||ATIVO|2000-01-17|18538|Serviços Transporte e Logística|PRIVADO
TELEMAR PARTICIPAÇÕES SA|2000-07-11|2015-09-01|CANCELADA|2015-09-01|18678|Emp. Adm. Part. - Telecomunicações|PRIVADO
VARIG PARTICIPAÇÕES EM TRANSP AÉREOS S/A|2000-07-20|2011-01-04|CANCELADA|2011-01-04|18686|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
VARIG PARTIC. EM SERVIÇOS COMPLEMENTARES|2000-07-20|2011-01-04|CANCELADA|2011-01-04|18694|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
BRADESPAR S/A|2000-08-07||ATIVO|2000-08-07|18724|Emp. Adm. Part. - Extração Mineral|PRIVADO HOLDING
INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR|2000-09-29||ATIVO|2000-09-29|18775|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
MC TRUST SA|2000-10-18|2006-01-17|CANCELADA|2006-01-17|18783|Comunicação e Informática|PRIVADO
INVISTA NYLON SUL AMERICANA S/A|2000-10-25|2003-11-05|CANCELADA|2003-11-05|18791|Têxtil e Vestuário|PRIVADO
CCR S.A.|2000-12-19||ATIVO|2000-12-19|18821|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
SADIA SA|2000-12-27|2009-11-04|CANCELADA|2009-11-04|18848|Alimentos|PRIVADO
RIOEST ESTACIONAMENTOS SA|2001-02-05|2012-04-26|CANCELADA|2012-04-26|18872|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
SUPERVIA CONCESS. DE TRANPORTE FERR. S/A|2001-02-20|2001-06-11|CANCELADA|2001-06-11|18880|Serviços Transporte e Logística|PRIVADO
CIA PETROLIFERA MARLIM|2001-03-07|2009-08-17|CANCELADA|2009-08-17|18899|Petróleo e Gás|PRIVADO
VICUNHA SIDERURGIA SA|2001-03-14|2013-05-06|CANCELADA|2013-05-06|18902|Emp. Adm. Part. - Metalurgia e Siderurgia|PRIVADO
DISTRIBUIDORA DE PETROLEO DA BAHIA SA|2001-06-07|2006-01-23|CANCELADA|2006-01-23|18945|Petróleo e Gás|PRIVADO
ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.|2001-06-08|2014-10-08|CANCELADA|2014-10-08|18961|Emp. Adm. Part. - Educação|PRIVADO
VOTORANTIM FINANÇAS SA|2001-07-13|2011-05-05|CANCELADA|2011-05-05|18988|Comércio (Atacado e Varejo)|PRIVADO
CALÇADOS AZALÉIA SA|2001-07-19|2008-10-14|CANCELADA|2008-10-14|19003|Têxtil e Vestuário|PRIVADO
EMPR. CONCESS. DE RODOVIAS DO NORTE S.A. - ECONORTE|2001-07-24|2020-12-16|CANCELADA|2020-12-16|19011|Serviços Transporte e Logística|PRIVADO
MASSA FALIDA DE FAZENDAS REUNIDAS BOI GORDO|2001-08-20|2007-08-07|CANCELADA|2007-08-07|19020|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.|2001-09-03|2012-06-14|CANCELADA|2012-06-14|19046|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
ATMA  PARTICIPAÇÕES  S.A.|2001-10-29||ATIVO|2001-10-29|19100|Emp. Adm. Part. - Comunicação e Informática|PRIVADO
EDITORA ABRIL S/A|2001-11-06|2011-08-18|CANCELADA|2011-08-18|19143|Comunicação e Informática|PRIVADO
RDN CONCESSÕES E PARTICIPAÇÕES S.A.|2001-11-12|2021-12-23|CANCELADA|2021-12-23|19151|Serviços Transporte e Logística|PRIVADO
NOVAMARLIM PARTICIPAÇÕES S/A|2001-12-05|2010-07-21|CANCELADA|2010-07-21|19178|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
NOVAMARLIM PETROLEO SA|2001-12-19|2010-08-11|CANCELADA|2010-08-11|19194|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
CONCESSIONARIA RIO-TERESOPOLIS SA|2001-12-26||ATIVO|2001-12-26|19208|Serviços Transporte e Logística|PRIVADO
CP CIMENTO E PARTICIPAÇÕES  S/A|2002-01-22|2011-03-21|CANCELADA|2011-03-21|19216|Emp. Adm. Part. - Extração Mineral|PRIVADO
CIA DE RECUPERAÇÃO SECUNDÁRIA|2002-02-07|2012-06-28|CANCELADA|2012-06-28|19240|Petróleo e Gás|PRIVADO
ANCAR EMPREENDIMENTOS COMERCIAIS S/A|2002-02-26|2006-12-18|CANCELADA|2006-12-18|19259|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
QUATTOR PETROQUÍMICA S.A.|2002-03-25|2011-02-03|CANCELADA|2011-02-03|19267|Petroquímicos e Borracha|PRIVADO
EMPRESA CONC.DE RODOV.DO SUL S/A ECOSUL|2002-05-21|2010-04-20|CANCELADA|2010-04-20|19283|Serviços Transporte e Logística|PRIVADO
SENDAS S/A|2002-06-05|2005-07-15|CANCELADA|2005-07-15|19291|Comércio (Atacado e Varejo)|PRIVADO
BIOMM SA|2002-08-19||ATIVO|2002-08-19|19305|Farmacêutico e Higiene|PRIVADO
TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.|2002-12-05||ATIVO|2002-12-05|19330|Serviços Transporte e Logística|PRIVADO HOLDING
BRAUSTAM HOTEIS REIT SA|2003-05-14|2005-07-21|CANCELADA|2005-07-21|19399|Hospedagem e Turismo|PRIVADO
NATURA COSMETICOS SA|2004-05-21||ATIVO|2004-05-21|19550|Farmacêutico e Higiene|PRIVADO
GOL LINHAS AEREAS INTELIGENTES SA|2004-06-09||ATIVO|2004-06-09|19569|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A|2004-08-16|2020-10-23|CANCELADA|2020-10-23|19577|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
GRENDENE SA|2004-10-26||ATIVO|2004-10-26|19615|Têxtil e Vestuário|PRIVADO
DIAGNOSTICOS DA AMERICA SA|2004-11-05||ATIVO|2004-11-05|19623|Serviços Médicos|PRIVADO
INTERCEMENT BRASIL SA|2004-11-12|2011-08-01|CANCELADA|2011-08-01|19631|Construção Civil, Mat. Constr. e Decoração|PRIVADO
POMIFRUTAS S/A - EM RECUPERAÇÃO JUDICIAL|2004-12-28||ATIVO|2004-12-28|19658|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
LOCALIZA RENT A CAR SA|2005-05-06||ATIVO|2005-05-06|19739|Serviços Transporte e Logística|PRIVADO
PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO S/A|2005-09-16|2014-09-10|CANCELADA|2014-09-10|19798|Têxtil e Vestuário|PRIVADO
BUDDEMEYER S/A|2005-10-05|2011-04-29|CANCELADA|2011-04-29|19801|Têxtil e Vestuário|PRIVADO
COSAN S.A.|2005-10-26||ATIVO|2005-10-26|19836|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
BR MALLS PARTICIPAÇOES S.A.|2006-01-04||ATIVO|2006-01-04|19909|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO HOLDING
TOTVS S.A|2006-03-07||ATIVO|2006-03-07|19992|Comunicação e Informática|PRIVADO
LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL|2006-05-08||ATIVO|2006-05-08|20060|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
EMBRAER S.A.|2006-05-23||ATIVO|2006-05-23|20087|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DATASUL S/A|2006-05-30|2008-10-13|CANCELADA|2008-10-13|20095|Comunicação e Informática|PRIVADO
BRASIL & MOVIMENTOS S/A|2006-06-09|2009-03-30|CANCELADA|2009-03-30|20109|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ODONTOPREV S/A|2006-06-13||ATIVO|2006-06-13|20125|Serviços Médicos|PRIVADO
CREMER SA|2006-06-30|2018-11-22|CANCELADA|2018-11-22|20141|Têxtil e Vestuário|PRIVADO
ÓLEO E GÁS PARTICIPAÇÕES S/A|2006-07-19|2019-03-12|CANCELADA|2019-03-12|20168|Emp. Adm. Part. - Petróleo e Gás|PRIVADO HOLDING
CENTENNIAL ASSET PART. MINAS-RIO S/A|2006-07-19|2013-11-11|CANCELADA|2013-11-11|20176|Emp. Adm. Part. - Extração Mineral|PRIVADO HOLDING
CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO|2006-07-19||ATIVO|2006-07-19|20184|Emp. Adm. Part. - Extração Mineral|PRIVADO HOLDING
CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.|2006-07-19||ATIVO|2006-07-19|20192|Serviços Transporte e Logística|PRIVADO
ABYARA PLANEJAMENTO IMOBILIÁRIO S/A|2006-07-24|2010-05-28|CANCELADA|2010-05-28|20206|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
KLABIN SEGALL S/A|2006-08-14|2010-08-30|CANCELADA|2010-08-30|20249|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BROOKFIELD INCORPORAÇÕES S.A.|2006-09-11|2016-08-24|CANCELADA|2016-08-24|20265|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO HOLDING
MEDIAL SAUDE S/A|2006-09-19|2010-07-07|CANCELADA|2010-07-07|20273|Serviços Médicos|PRIVADO
AUTOTRAC COMERCIO E TELECOMUNICAÇÕES|2006-10-04|2009-07-03|CANCELADA|2009-07-03|20311|Serviços Transporte e Logística|PRIVADO
M DIAS BRANCO SA IND E COM DE ALIMENTOS|2006-10-11||ATIVO|2006-10-11|20338|Alimentos|PRIVADO
PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS|2006-10-24||ATIVO|2006-10-24|20346|Comércio (Atacado e Varejo)|PRIVADO
TERRA SANTA AGRO S.A.|2006-11-09|2021-10-19|CANCELADA|2021-10-19|20354|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
