cutoff_date,codneg,nomres,especi,codemi,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2011-04-11,GRND3,GRENDENE,ON      NM,GRND,2011-02-25 09:54:33,2010-12-31,300720000.0,-852493000.0,208413000.0,0.2531825023415491,518726391.34293985,1371219391.3429399,0.15199099525268908,26.0
2011-04-11,JSLG3,JSL,ON      NM,JSLG,2011-11-29 19:18:15,2010-12-31,198890000.0,1079611000.0,241216000.0,0.1274371666024768,1613374328.7486227,533763328.74862266,0.45191564689450847,27.0
2011-04-11,AMAR3,LOJAS MARISA,ON      NM,AMAR,2011-02-18 15:38:17,2010-12-31,184551000.0,37209000.0,285953000.0,0.3324053128494607,3550448742.8147383,3513239742.8147383,0.0813929651640853,28.0
2011-04-11,EUCA4,EUCATEX,PN      N1,EUCA,2011-04-12 16:07:16,2010-12-31,92619000.0,153320000.0,168533000.0,0.1545900588244466,663107952.816075,509787952.81607497,0.3305943168508036,29.0
2011-04-11,DIRR3,DIRECIONAL,ON      NM,DIRR,2011-04-05 16:03:49,2010-12-31,133407162.0,111523000.0,158758000.0,0.1690033192176099,849624505.3110875,738101505.3110875,0.21508965753035322,30.0
2012-04-09,FHER3,FER HERINGER,ON      NM,FHER,2012-03-14 08:59:20,2011-12-31,48471000.0,611982000.0,306054000.0,0.2819230762144964,640301910.0,28319910.0,10.807025869785603,1.0
2012-04-09,LREN3,LOJAS RENNER,ON      NM,LREN,2012-02-08 18:36:54,2011-12-31,122821000.0,259898000.0,472633000.0,0.3340408058260112,961854987.3957851,701956987.3957851,0.6733076363459787,2.0
2012-04-09,VALE3,VALE,ON      N1,VALE,2012-06-28 12:06:54,2011-12-31,5365305000.0,39166496000.0,53087424000.0,0.2856360703774495,124494141143.0247,85327645143.0247,0.6221597222215121,3.0
2012-04-09,RENT3,LOCALIZA,ON      NM,RENT,2012-03-13 08:21:28,2011-12-31,201708000.0,1363423000.0,595707000.0,0.2398170535819961,1587681681.5901687,224258681.5901687,2.65633863436623,4.0
2012-04-09,ETER3,ETERNIT,ON      NM,ETER,2012-03-12 17:47:08,2011-12-31,89500000.0,-20477000.0,117301000.0,0.2808736941160695,272681948.549416,293158948.549416,0.4001276460446415,5.0
2012-04-09,NATU3,NATURA,ON      NM,NATU,2012-02-15 19:19:16,2011-12-31,431239000.0,671089000.0,1315070000.0,0.6844567368297235,6957460565.991753,6286371565.991753,0.20919380698307982,6.0
2012-04-09,LAME4,LOJAS AMERIC,PN  INT,LAME,2012-03-06 20:23:09,2011-12-31,774971710.0,2611450000.0,1140573000.0,0.302549048006328,6783052533.198468,4171602533.198468,0.27341363203303437,7.0
2012-04-09,BRAP4,BRADESPAR,PN      N1,BRAP,2012-03-16 19:07:53,2011-12-31,349548000.0,582935000.0,2167700000.0,0.2341538638358069,5100325286.2756815,4517390286.2756815,0.47985670102176164,8.0
2012-04-09,SLED4,SARAIVA LIVR,PN      N2,SLED,2012-03-22 17:05:21,2011-12-31,28596000.0,274127000.0,139592000.0,0.1885527343064076,460136849.7738662,186009849.77386618,0.7504548827371412,9.0
2012-04-09,POMO4,MARCOPOLO,PN      N2,POMO,2012-02-28 08:05:25,2011-12-31,448450042.0,580316000.0,428482000.0,0.2445941564372351,1700001448.7370696,1119685448.7370696,0.3826806899056329,10.0
2012-04-09,LEVE3,METAL LEVE,ON      NM,LEVE,2012-03-10 01:12:22,2011-12-31,42769500.0,350283000.0,242078000.0,0.1430415850991603,413179229.4871736,62896229.48717362,3.8488475696204776,11.0
2012-04-09,TOTS3,TOTVS,ON      NM,TOTS,2012-01-31 18:13:08,2011-12-31,159466791.0,18156000.0,226199000.0,0.29452112762248,1422977098.6800938,1404821098.6800938,0.16101623204016963,12.0
2012-04-09,BRPR3,BR PROPERT,ON      NM,BRPR,2012-07-10 14:31:08,2011-12-31,180004000.0,1051012000.0,733074000.0,0.1545348664399119,2110293032.4599602,1059281032.4599602,0.6920486419903016,13.0
2012-04-09,MDIA3,M.DIASBRANCO,ON      NM,MDIA,2012-03-05 19:39:05,2011-12-31,113450000.0,480204000.0,415660000.0,0.1672018687220356,1525081466.4073243,1044877466.4073243,0.39780741126439734,14.0
2012-04-09,RAPT4,RANDON PART,PN  ED  N1,RAPT,2012-02-28 08:02:22,2011-12-31,243785000.0,379538000.0,459779000.0,0.2051764115782258,1640218469.419462,1260680469.419462,0.36470700637706105,15.0
2012-04-09,WEGE3,WEG,ON      NM,WEGE,2012-02-15 10:37:36,2011-12-31,620405029.0,526113000.0,663125000.0,0.1495983713770968,1455179691.3477798,929066691.3477798,0.7137539276518642,16.0
2012-04-09,TAMM4,TAM S/A,PN      N2,TAMM,2012-02-13 09:01:48,2011-12-31,156206000.0,6829643000.0,1017885000.0,0.1136823701945204,6941794640.0,112151640.0,9.075970712510312,17.0
2012-04-09,ODPV3,ODONTOPREV,ON  EDB NM,ODPV,2012-03-01 18:33:38,2011-12-31,177098264.0,-207831000.0,179285000.0,0.3223338709010462,1243866715.1430566,1451697715.1430566,0.1235002288216266,18.0
2012-04-09,VLID3,VALID,ON      NM,VLID,2012-03-21 17:56:17,2011-12-31,55750000.0,41894000.0,155710000.0,0.2855995187122618,1023107668.285309,981213668.285309,0.15869122601207383,19.0
2012-04-09,MRVE3,MRV,ON      NM,MRVE,2012-03-15 23:02:15,2011-12-31,482710000.0,1746510000.0,893023000.0,0.1648678441952228,4143162094.6444874,2396652094.6444874,0.37261269668448416,20.0
2012-04-09,CCRO3,CCR SA,ON      NM,CCRO,2012-03-07 21:25:25,2011-12-31,1765587200.0,6184540000.0,2277019000.0,0.2422681514732536,17881512155.75989,11696972155.759892,0.19466738654060461,21.0
2012-04-09,TGMA3,TEGMA,ON      NM,TGMA,2012-03-14 20:54:35,2011-12-31,66003000.0,222532000.0,178253000.0,0.2872176210885888,1447483725.148163,1224951725.148163,0.14551838765600297,22.0
2012-04-09,EZTC3,EZTEC,ON      NM,EZTC,2012-03-13 22:12:01,2011-12-31,146724120.0,-241350000.0,288502000.0,0.2453225352483947,1407112124.4698248,1648462124.4698248,0.17501281692643528,23.0
2012-04-09,MYPK3,IOCHP-MAXION,ON      NM,MYPK,2012-02-27 19:36:53,2011-12-31,94863000.0,519373000.0,358253000.0,0.2491340361183955,2640526424.054281,2121153424.0542812,0.1688953735912467,24.0
2012-04-09,ECOR3,ECORODOVIAS,ON      NM,ECOR,2012-03-15 18:37:08,2011-12-31,558699000.0,1041506000.0,788268000.0,0.2693453545351323,6240673742.659567,5199167742.659567,0.1516142657856951,25.0
2012-04-09,SLCE3,SLC AGRICOLA,ON      NM,SLCE,2012-03-28 17:54:55,2011-12-31,98897500.0,509568000.0,256880000.0,0.1057204614034712,560257591.6231601,50689591.623160124,5.067707033619724,26.0
2012-04-09,UGPA3,ULTRAPAR,ON      NM,UGPA,2012-02-16 11:00:54,2011-12-31,544383996.0,2853744000.0,1452191000.0,0.1722446263660926,8274779776.080322,5421035776.080322,0.2678807261165146,27.0
2012-04-09,EVEN3,EVEN,ON      NM,EVEN,2012-03-27 20:10:51,2011-12-31,233293408.0,977548000.0,280707000.0,0.1091386465590107,1220681577.1755288,243133577.17552876,1.154538189504551,28.0
2012-04-09,BRML3,BR MALLS PAR,ON      NM,BRML,2012-10-18 02:39:31,2011-12-31,449542000.0,2672954000.0,1445374000.0,0.1457664884539952,6359180544.101202,3686226544.101202,0.39210124030844656,29.0
2012-04-09,HBOR3,HELBOR,ON      NM,HBOR,2012-03-14 19:27:51,2011-12-31,65097000.0,539662000.0,236683000.0,0.1633812053249393,1485148749.3953164,945486749.3953164,0.25032926178116194,30.0
2013-04-10,CSAN3,COSAN,ON      NM,CSAN,2012-05-31 00:22:35,2012-03-31,407214000.0,3397908000.0,4229142000.0,0.3249616075631372,3510111868.9442415,112203868.94424152,37.691587997751,1.0
2013-04-10,BRML3,BR MALLS PAR,ON      NM,BRML,2013-03-06 23:59:07,2012-12-31,453364000.0,3707683000.0,3409403000.0,0.2722591460154684,6520805161.410186,2813122161.410186,1.2119640756343497,2.0
2013-04-10,LREN3,LOJAS RENNER,ON  INT NM,LREN,2013-02-26 19:05:40,2012-12-31,124170000.0,632137000.0,559250000.0,0.2885974961554737,1179850796.1979392,547713796.1979392,1.0210624670806936,3.0
2013-04-10,ETER3,ETERNIT,ON      NM,ETER,2013-03-15 16:57:06,2012-12-31,89500000.0,-15640000.0,155553000.0,0.3353201377900986,301838957.8581548,317478957.8581548,0.4899631807078658,4.0
2013-04-10,TPIS3,TRIUNFO PART,ON      NM,TPIS,2013-05-15 19:38:31,2012-12-31,146000000.0,1228687000.0,666969000.0,0.2170816362532116,1364613203.5288203,135926203.52882028,4.906846381967722,5.0
2013-04-10,PTBL3,PORTOBELLO,ON      NM,PTBL,2013-03-28 07:22:06,2012-12-31,159009000.0,107645000.0,116862000.0,0.4977680472969519,581136192.4040376,473491192.4040376,0.2468092371616488,6.0
2013-04-10,BEEF3,MINERVA,ON      NM,BEEF,2013-03-20 21:26:37,2012-12-31,146307556.0,1377510000.0,418428000.0,0.1962776354630815,1494357067.8001943,116847067.80019426,3.5809884482125134,7.0
2013-04-10,RENT3,LOCALIZA,ON      NM,RENT,2013-03-20 08:51:24,2012-12-31,201708000.0,1231225000.0,465828000.0,0.1822503949564511,1662290579.3222978,431065579.3222978,1.0806429980615806,8.0
2013-04-10,NATU3,NATURA,ON      NM,NATU,2013-02-06 21:47:46,2012-12-31,431239000.0,681457000.0,1369550000.0,0.6890630392935236,8927590401.695473,8246133401.695473,0.16608390057313518,9.0
2013-04-10,WEGE3,WEG,ON      NM,WEGE,2013-02-27 08:08:55,2012-12-31,620405029.0,126340000.0,808411000.0,0.188970880086471,2051938024.5325406,1925598024.5325406,0.41982334303456215,10.0
2013-04-10,GRND3,GRENDENE,ON      NM,GRND,2013-02-28 20:04:01,2012-12-31,300720000.0,-341558000.0,362813000.0,0.2250695407703703,1346623960.4512026,1688181960.4512026,0.21491344446248584,11.0
2013-04-10,SCAR3,SAO CARLOS,ON      NM,SCAR,2013-03-18 20:18:32,2012-12-31,57737000.0,697788000.0,361679000.0,0.2268367821801428,2387371350.2237015,1689583350.2237015,0.2140640175887822,12.0
2013-04-10,MDIA3,M.DIASBRANCO,ON      NM,MDIA,2013-03-04 17:58:08,2012-12-31,113450000.0,277827000.0,544411000.0,0.2025003301164799,2579885752.7006145,2302058752.7006145,0.2364887513671556,13.0
2013-04-10,ECOR3,ECORODOVIAS,ON      NM,ECOR,2013-03-14 23:48:02,2012-12-31,558699000.0,2309098000.0,953053000.0,0.2149136841440631,6687711444.176405,4378613444.176405,0.21766091301518498,14.0
2013-04-10,TOTS3,TOTVS,ON      NM,TOTS,2013-01-29 18:16:25,2012-12-31,161629945.0,-174432000.0,296820000.0,0.4018063824430023,1893523393.3372297,2067955393.3372297,0.14353307665935539,15.0
2013-04-10,SLED4,SARAIVA LIVR,PN      N2,SLED,2013-03-21 17:49:52,2012-12-31,28596000.0,287958000.0,143899000.0,0.1790013422084117,693139661.6122843,405181661.6122843,0.35514687270742284,16.0
2013-04-10,ARTR3,ARTERIS,ON      NM,ARTR,2013-03-05 17:35:00,2012-12-31,344444000.0,2489916000.0,836900000.0,0.2042714181108127,7117727470.070658,4627811470.070658,0.1808414204883809,17.0
